
 (220132) Acessou página financeira. Isto através do IP: 179.55.234.7, na data 02 às 19:29.
 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:53.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:54.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:55.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 01:58.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:01.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:06.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:07.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:15.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:25.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:26.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:27.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:27.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:28.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:29.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:30.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:30.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:30.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:31.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:31.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:32.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:33.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:35.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:36.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:36.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:36.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:37.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:54.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:55.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:56.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:56.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:56.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 02:57.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 02:57.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 03:02.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 03:03.

 (220132) Acessou o portal. Isto através do IP: 179.250.167.228, na data 06 às 15:05.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 15:43.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 15:45.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 15:45.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:14.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:15.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:19.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:23.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:24.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:24.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:24.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:25.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:26.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:34.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:35.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:36.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:40.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:40.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.250.167.228, na data 06 às 16:41.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 06 às 23:21.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 06 às 23:21.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 06 às 23:24.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:17.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:17.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:18.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:19.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:19.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:20.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:20.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:25.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:36.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:48.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:48.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:49.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:50.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 07:51.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 08:24.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.34.31.25, na data 07 às 08:24.

 (220132) Adicionou o slide com o título: Propósitos qualificam discípulos.. Isto através do IP: 179.34.31.25, na data 07 às 08:53.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:53.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:53.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:53.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:53.

 (220132) atualizou o slide com o título: Propósitos qualificam discípulos.. Isto através do IP: 179.34.31.25, na data 07 às 08:59.

 (220132) atualizou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:59.

 (220132) atualizou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:59.

 (220132) atualizou o slide com o título: Há expectativas sobre você. Isto através do IP: 179.34.31.25, na data 07 às 08:59.

 (220132) atualizou o slide com o título: . Isto através do IP: 179.34.31.25, na data 07 às 08:59.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.238.21, na data 07 às 15:51.

 (220132) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.226.189, na data 07 às 18:20.

 (220132) Adicionou o slide com o título: Propósitos qualificam discípulos.. Isto através do IP: 179.55.226.189, na data 07 às 18:23.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.55.226.189, na data 07 às 18:23.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.55.226.189, na data 07 às 18:23.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.55.226.189, na data 07 às 18:23.

 (220132) Adicionou o slide com o título: . Isto através do IP: 179.55.226.189, na data 07 às 18:23.

 (220132) Acessou o portal. Isto através do IP: 179.55.226.189, na data 07 às 21:35.

 (220132) Postou o texto O que importa no evangelho. Isto através do IP: 179.34.30.151, na data 08 às 06:41.

 (220132) Excluíu o texto de referência 1. Isto através do IP: 179.34.30.151, na data 08 às 09:41.

 (220132) Postou o texto O que podemos aprender com a fuga de moisés. Isto através do IP: 179.34.30.151, na data 08 às 09:48.

 (220132) Editou o post; O que podemos aprender com a fuga de moi (1176822325). Isto através do IP: 179.34.30.151, na data 08 às 09:55.

 (220132) Editou o post; O que podemos aprender com a fuga de moi (1705649170). Isto através do IP: 179.34.30.151, na data 08 às 10:51.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 13:02.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 13:04.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 17:15.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:24.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:43.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:43.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:43.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:44.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:44.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:44.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:45.

 (220132) Acessou o portal. Isto através do IP: 179.34.30.151, na data 08 às 18:45.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 21:56.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:02.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:02.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:03.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:03.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:04.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:05.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:05.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:05.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:09.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:17.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:18.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:19.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:28.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:28.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:34.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:35.

 (220132) Acessou o portal. Isto através do IP: 179.34.24.125, na data 08 às 22:35.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 09 às 19:29.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:27.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:31.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:55.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:55.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:55.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:57.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:59.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 18:59.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 19:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 19:02.

 (220132) Acessou a página de acionar membro na célula. Isto através do IP: 179.55.245.195, na data 10 às 19:56.

 (220132) Acessou a página de acionar membro na célula. Isto através do IP: 179.55.245.195, na data 10 às 19:57.

 (220132) Acessou a página de acionar membro na célula. Isto através do IP: 179.55.245.195, na data 10 às 19:58.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 20:00.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 20:01.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 20:01.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 21:11.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 21:12.

 (220132) Acessou as configurações da célula. Isto através do IP: 179.55.245.195, na data 10 às 21:24.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 22:19.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 22:20.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 22:20.

 (220132) Acessou as configurações da célula. Isto através do IP: 179.55.245.195, na data 10 às 22:20.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 22:20.

 (220132) Acessou o portal. Isto através do IP: 179.55.245.195, na data 10 às 22:20.

 (220132) Acessou o portal. Isto através do IP: 179.55.224.183, na data 12 às 18:47.

 (220132) Acessou as configurações da célula. Isto através do IP: 179.55.224.183, na data 12 às 18:47.

 (220132) Editou o post; O evangelho é Jesus, não esqueça! (1853716284). Isto através do IP: 179.55.224.183, na data 12 às 19:31.

 (220132) Acessou o portal. Isto através do IP: 179.55.224.183, na data 12 às 22:21.

 (220132) Acessou o portal. Isto através do IP: 179.34.29.225, na data 13 às 22:37.

 (220132) Acessou o portal. Isto através do IP: 179.34.29.225, na data 13 às 23:05.

 (220132) Acessou o portal. Isto através do IP: 179.34.29.225, na data 13 às 23:08.

 (220132) Acessou o portal. Isto através do IP: 179.250.165.107, na data 16 às 15:12.

Rafael Vieira de O Silva (220132) Postou o texto O evangelho é Jesus, não esqueça!. Isto através do IP: 179.250.165.107, na data 16 às 18:25.

 (220132) Acessou o portal. Isto através do IP: 179.55.252.103, na data 22 às 16:24.

 (220132) Acessou o portal. Isto através do IP: 179.55.252.103, na data 22 às 18:23.

 (220132) Acessou o portal. Isto através do IP: 179.55.252.103, na data 27 às 14:30.
